cgpa,backlogs,internships,projects,coding_score,communication_score,attendance_percent,placed
7.57,2,1,3,80.6,78.3,95.2,1
6.74,3,2,1,59.9,84.4,70.9,0
7.9,1,2,2,61.9,76.9,72.0,1
9.7,3,2,3,61.9,63.2,78.4,1
7.4,0,1,2,57.8,50.4,72.7,0
7.47,1,1,2,62.2,65.5,79.8,0
6.69,3,2,3,99.7,55.3,76.7,0
6.27,0,1,3,46.1,56.2,82.9,1
8.11,0,0,0,50.3,46.3,92.1,0
6.26,0,3,2,89.9,71.7,82.7,1
7.28,1,2,2,58.3,93.6,83.6,1
6.67,1,1,2,56.9,78.4,71.4,0
7.73,0,2,2,83.6,68.4,80.7,1
7.57,0,0,3,39.4,69.4,77.8,0
8.34,1,1,2,79.8,24.3,88.8,1
6.64,0,1,4,65.8,63.6,74.4,1
6.9,0,2,2,73.4,48.6,73.4,1
6.12,0,0,4,73.0,72.0,85.2,0
6.71,0,2,2,53.7,66.1,100.0,1
7.62,0,1,3,83.9,57.0,80.2,1
8.03,0,0,2,55.1,71.7,83.7,0
6.19,1,1,4,72.4,71.5,91.5,1
8.16,2,2,4,87.3,92.8,87.1,1
8.69,3,2,4,89.8,80.3,87.2,1
7.65,0,1,1,60.2,73.3,81.0,1
9.26,0,2,0,73.3,55.8,81.2,1
6.35,0,2,2,58.5,53.9,74.4,1
5.83,0,0,2,100.0,79.0,86.9,0
5.24,1,2,1,79.0,67.0,86.6,0
8.85,0,1,2,66.5,73.7,89.2,1
7.92,1,0,2,70.6,84.7,77.1,0
7.14,1,2,3,72.3,47.3,90.3,0
7.51,2,0,3,72.9,91.0,93.3,0
5.96,0,3,3,60.7,84.5,69.9,1
9.89,0,0,1,57.9,39.2,79.0,1
7.34,0,2,2,62.3,100.0,93.8,1
7.32,2,2,0,44.5,74.8,75.5,0
8.0,1,1,2,77.9,62.8,87.3,1
7.73,0,1,3,50.6,77.8,82.1,1
7.45,2,2,3,45.9,55.3,85.3,0
6.33,2,2,2,64.7,78.2,82.4,1
7.72,0,1,2,62.7,58.1,89.5,1
9.27,0,0,1,69.5,100.0,71.8,1
8.68,1,2,1,54.8,70.9,72.9,1
8.95,0,3,3,57.9,79.7,96.6,1
6.64,1,2,2,77.5,58.2,100.0,1
6.11,0,0,0,76.4,82.2,81.9,0
7.06,0,1,2,75.6,69.8,99.2,1
7.26,3,1,2,65.6,48.8,74.3,0
8.4,3,3,2,68.0,66.4,76.7,0
5.34,2,1,4,69.1,99.0,96.6,0
8.88,0,2,1,53.2,82.9,90.0,1
7.03,1,0,2,91.5,64.3,98.1,0
6.73,0,2,3,89.0,42.0,86.7,1
6.09,1,0,2,79.3,57.5,71.9,0
5.38,3,2,3,57.3,48.9,84.2,0
8.11,1,1,2,74.7,42.3,94.0,0
7.28,1,2,3,82.6,81.8,80.7,1
5.78,1,2,2,43.0,70.9,79.1,0
5.78,0,2,1,95.5,96.9,86.8,1
6.83,2,1,2,33.7,55.0,76.4,0
9.04,0,0,4,77.7,70.0,85.0,1
6.91,0,0,0,91.2,49.1,82.6,0
5.55,1,3,1,63.0,61.1,77.1,0
6.93,2,1,2,62.3,66.7,91.8,0
6.9,1,3,4,77.0,64.4,88.5,1
4.5,2,3,0,98.3,70.8,78.5,0
7.14,3,0,4,59.9,84.6,81.9,0
6.95,1,2,2,50.9,83.0,79.3,1
7.97,0,2,2,57.4,58.5,75.6,1
9.23,2,2,3,37.1,69.5,65.0,0
8.44,2,2,1,81.2,81.9,77.2,0
6.9,1,1,2,55.7,85.5,75.8,0
5.98,1,0,4,61.2,60.1,83.1,0
10.0,0,2,1,81.4,80.6,86.4,1
7.27,1,1,2,58.2,75.0,74.0,0
7.22,1,1,3,78.7,54.0,85.7,1
7.17,0,2,2,46.3,82.0,72.4,1
7.42,3,3,3,82.3,72.3,80.7,1
7.04,3,2,0,71.2,43.9,76.0,0
6.57,1,2,2,63.4,65.6,89.5,0
6.6,1,2,0,67.4,70.6,83.2,0
7.16,2,2,0,41.8,60.9,80.9,0
6.6,0,3,4,66.9,88.4,75.7,1
6.42,1,3,1,62.4,89.0,78.7,1
7.32,0,0,4,42.3,64.3,100.0,1
6.92,3,2,2,52.9,62.6,77.0,0
8.85,1,2,0,62.7,68.0,86.8,1
4.5,1,2,2,54.1,67.0,80.9,0
8.4,2,1,0,21.6,61.1,86.5,0
8.57,0,1,2,84.4,14.4,90.4,1
4.92,2,2,4,62.4,96.3,78.5,0
6.82,0,0,4,24.1,70.0,89.1,1
6.79,0,0,1,100.0,67.3,100.0,0
5.65,3,3,0,87.3,74.9,87.7,0
6.34,1,3,3,58.7,68.8,98.1,1
5.98,1,1,4,49.8,63.5,86.8,0
9.13,0,2,4,72.3,54.9,72.7,1
8.23,0,2,1,68.6,42.4,84.8,1
8.6,3,2,2,74.8,49.7,78.7,0
7.99,2,1,1,49.9,53.2,76.0,0
5.96,0,3,0,84.8,79.8,81.3,1
6.62,2,2,2,56.5,80.9,80.5,0
7.74,1,2,2,77.3,56.8,71.4,1
5.86,1,3,2,50.7,30.0,100.0,0
7.98,2,1,4,100.0,70.1,90.1,1
6.94,0,3,2,77.5,63.7,84.4,1
6.79,2,0,4,100.0,63.3,82.9,0
7.98,1,2,4,79.9,84.3,94.0,1
7.69,3,3,2,54.9,72.1,100.0,0
6.8,1,1,2,79.9,55.4,88.9,0
8.48,0,1,1,81.2,51.9,83.2,1
6.01,1,0,4,71.7,66.1,96.7,0
7.88,1,1,3,76.3,56.4,83.4,1
7.85,2,3,3,78.7,68.9,86.4,1
6.86,3,0,1,47.1,85.4,92.0,0
7.56,0,2,3,45.8,49.3,78.1,1
5.82,3,3,0,50.7,71.3,61.2,0
8.22,0,2,4,67.3,83.7,77.6,1
7.0,0,2,1,61.0,68.7,89.7,1
6.63,3,1,2,47.4,80.8,89.0,0
8.35,1,0,4,79.0,65.7,95.4,1
6.43,0,2,1,70.1,72.6,78.0,0
5.65,0,1,2,68.0,76.6,97.8,0
5.49,1,2,2,60.4,61.4,83.9,0
7.87,0,1,2,58.2,99.9,88.0,1
5.79,3,3,4,49.9,78.7,91.0,0
9.13,0,0,2,81.8,89.5,68.2,1
4.91,0,2,3,52.3,86.1,72.0,0
9.07,1,2,1,68.8,74.9,71.6,1
7.43,2,0,4,94.9,90.8,92.7,1
7.09,1,2,0,59.0,72.8,78.9,0
6.6,0,1,2,82.3,59.1,100.0,1
7.64,0,2,2,75.2,70.2,82.0,1
7.16,2,1,4,70.6,54.9,67.3,0
8.41,1,3,4,72.7,38.5,75.3,1
7.33,1,2,2,63.3,57.2,83.2,0
7.37,3,1,3,65.6,71.1,87.2,0
6.8,0,1,2,55.1,85.9,72.2,1
7.14,3,3,2,65.7,57.2,87.7,0
7.54,2,0,3,54.5,85.2,90.4,0
5.32,3,1,0,83.1,51.8,75.6,0
5.72,2,2,2,34.4,56.2,100.0,0
8.02,1,3,2,73.7,91.7,76.7,1
7.39,0,2,2,71.1,70.7,72.0,1
7.0,3,0,3,69.4,67.4,66.7,0
7.22,0,0,1,83.4,73.5,94.2,1
7.58,0,1,0,59.8,51.9,82.2,0
6.61,1,2,0,69.6,65.0,77.2,1
6.34,0,0,3,34.1,70.0,67.3,0
7.42,1,3,4,57.5,88.5,78.1,1
6.12,1,2,4,80.4,44.9,100.0,1
7.65,0,1,2,40.9,96.4,60.6,1
5.33,0,2,2,67.9,68.1,75.7,0
8.33,0,2,3,52.8,53.3,99.9,1
7.72,1,2,2,63.0,50.6,94.5,1
7.48,0,2,0,53.9,74.1,76.3,1
8.28,0,1,0,42.6,49.8,84.0,0
9.03,2,0,1,71.9,61.6,86.6,0
8.32,2,1,4,64.1,66.3,83.3,0
5.18,2,0,3,76.0,87.2,99.8,0
5.79,1,0,2,79.3,85.3,85.4,0
6.51,2,2,4,87.1,60.4,93.4,1
7.23,0,3,2,67.4,66.8,83.8,1
7.77,0,1,1,87.8,46.1,61.7,1
6.4,1,2,1,47.4,39.4,70.1,0
7.41,0,1,2,81.4,51.6,72.2,1
6.37,1,2,1,73.3,86.8,79.5,0
6.53,0,0,1,69.2,81.7,100.0,0
5.65,0,2,2,73.0,75.8,85.6,1
6.18,0,1,2,47.7,48.1,80.9,0
5.71,2,1,1,43.5,59.3,94.4,0
6.13,0,2,4,95.8,57.1,67.5,1
8.36,0,2,1,62.0,67.5,77.1,1
6.16,1,2,2,61.7,66.6,75.6,0
10.0,1,2,3,45.2,55.0,86.0,1
7.74,1,1,2,38.3,75.2,91.0,0
7.4,1,2,2,63.4,73.4,86.7,1
6.26,0,1,3,58.9,59.1,86.9,1
7.97,1,0,4,65.0,74.6,78.4,1
6.57,0,2,0,66.6,86.9,85.2,1
7.33,1,2,2,100.0,91.4,73.6,1
10.0,1,1,2,58.9,77.4,88.7,1
7.09,2,1,4,93.4,76.9,77.0,0
8.46,0,2,3,94.6,66.4,70.8,1
6.43,1,3,4,78.6,85.4,82.4,1
7.16,2,0,2,60.8,53.9,62.9,0
9.15,3,0,1,40.5,83.7,96.7,0
6.51,3,1,2,73.6,65.7,90.0,0
9.19,0,1,0,83.3,92.4,85.4,1
7.98,0,2,2,96.5,78.8,65.8,1
6.58,0,1,3,47.9,69.0,75.0,0
7.9,0,0,3,60.6,66.5,82.4,1
8.27,1,1,2,48.0,77.9,79.4,1
7.88,2,0,3,53.6,77.2,65.1,0
5.47,0,1,1,77.0,64.0,68.8,0
6.4,2,1,4,52.8,71.4,79.2,0
6.93,2,2,2,50.2,83.4,69.2,0
7.12,1,1,1,79.3,49.5,95.7,0
7.88,1,1,4,73.1,80.9,86.9,1
7.4,1,2,4,71.3,77.8,74.0,1
5.73,0,2,1,53.2,87.8,93.7,0
7.62,3,2,2,88.3,59.3,91.7,0
7.87,1,2,2,65.3,70.1,84.9,1
7.82,0,1,4,100.0,73.1,81.6,1
8.39,1,1,4,67.9,81.1,79.0,1
8.12,1,0,3,23.0,76.4,76.6,0
7.71,2,0,4,22.2,51.4,68.6,0
7.12,1,2,1,76.2,74.4,97.3,0
5.37,0,3,4,88.4,100.0,76.8,1
7.67,2,3,2,50.9,79.2,82.3,0
7.43,2,2,2,100.0,94.6,72.9,1
7.5,1,0,2,94.9,85.6,79.4,1
5.8,3,0,4,68.8,90.4,100.0,0
6.01,0,3,0,74.7,74.6,74.7,1
8.36,3,1,0,81.1,77.8,96.5,0
7.16,1,1,1,99.0,73.8,81.7,0
7.95,2,0,0,77.3,70.1,88.8,0
7.23,0,1,1,68.4,81.1,94.4,1
7.23,2,2,3,77.1,62.2,84.7,0
8.23,3,2,1,74.7,98.3,78.5,0
6.63,0,2,0,81.6,56.1,80.1,1
7.31,0,0,4,36.7,82.2,80.5,1
6.69,1,1,3,70.7,90.7,100.0,1
6.72,2,3,0,73.3,67.4,67.2,0
6.86,1,0,1,63.7,53.3,64.3,0
7.44,0,1,2,79.1,87.3,65.0,1
6.67,1,3,2,99.6,73.1,73.1,1
8.58,1,1,0,67.5,82.2,89.0,1
6.22,0,1,1,77.5,68.4,89.6,1
6.99,1,2,3,93.9,96.0,75.9,1
6.72,0,1,0,67.9,38.2,81.7,0
8.79,0,2,0,49.0,75.6,70.8,1
7.42,0,3,2,76.1,90.1,71.8,1
8.34,0,2,1,25.4,71.6,87.8,1
5.57,1,3,2,23.6,74.5,92.5,0
7.49,1,3,3,71.0,63.5,77.2,1
8.18,0,3,1,22.8,70.3,98.4,1
7.29,0,3,3,41.3,44.9,91.7,1
8.37,0,3,0,58.2,59.2,97.9,1
6.63,3,1,2,52.0,58.2,79.0,0
8.75,2,3,2,62.3,80.0,97.2,1
9.73,3,1,4,85.0,61.4,100.0,1
6.8,3,3,2,69.3,61.9,77.9,0
6.71,0,2,2,49.9,64.3,80.5,1
8.8,0,3,0,89.4,58.8,72.5,1
8.94,1,1,2,39.3,74.0,70.6,0
6.62,3,3,1,69.0,75.7,70.7,0
6.74,3,3,2,37.3,82.4,73.9,0
6.89,1,2,2,69.5,79.8,84.7,1
5.72,0,2,0,59.3,78.3,74.3,0
6.19,0,2,4,84.5,65.1,84.4,1
6.1,1,1,3,78.0,64.1,84.6,0
6.36,2,2,3,54.4,56.9,77.3,0
7.16,0,0,0,51.0,56.7,81.4,0
7.46,1,0,0,59.3,72.9,76.7,0
8.91,0,1,3,98.8,59.2,78.9,1
6.1,1,2,4,94.1,92.0,73.9,1
8.28,0,1,2,47.6,69.4,82.8,1
6.96,1,1,3,79.4,92.5,76.0,1
7.15,0,2,0,33.8,78.6,70.3,0
7.94,3,2,2,56.9,58.3,87.9,0
5.97,0,3,1,48.3,69.1,88.3,1
7.62,1,0,4,84.2,44.9,93.1,0
7.38,0,2,4,41.8,72.9,71.8,1
7.74,0,1,2,72.7,59.7,77.2,1
7.52,0,2,2,65.0,53.3,84.3,1
9.9,0,1,0,61.8,92.8,77.0,1
6.5,1,1,3,95.1,85.5,87.7,1
6.62,1,3,2,96.7,85.0,87.0,1
6.51,0,0,4,62.4,81.7,86.8,1
6.59,1,2,4,58.8,51.5,96.6,0
6.5,0,1,2,37.9,64.0,88.4,0
8.51,0,2,3,64.9,64.9,83.5,1
8.76,0,0,4,100.0,44.4,80.1,1
6.57,1,1,2,62.7,61.6,80.8,0
6.28,1,1,2,78.1,61.8,71.4,0
7.72,3,3,2,39.8,71.9,64.3,0
6.59,0,3,3,57.2,100.0,86.6,1
7.9,0,1,4,73.3,69.7,94.2,1
7.42,3,1,1,66.9,71.9,78.7,0
5.53,2,3,4,79.8,66.2,97.9,1
8.9,3,2,3,54.2,81.1,80.2,0
9.18,0,2,4,33.5,53.9,62.5,1
6.53,0,1,4,85.2,98.4,91.2,1
6.77,1,2,0,48.1,68.1,77.2,0
7.51,1,1,4,74.1,64.1,92.1,1
7.57,0,2,4,73.1,84.6,69.2,1
7.92,1,1,2,35.1,56.6,86.1,0
9.41,0,0,1,83.9,80.8,74.0,1
7.01,0,1,2,54.8,91.1,84.0,1
6.32,0,1,2,66.0,66.4,89.7,0
5.68,3,2,2,58.6,100.0,87.3,0
6.4,2,1,0,94.2,79.7,82.7,0
7.16,0,1,2,89.2,79.9,68.2,1
9.17,0,2,3,32.4,90.5,89.3,1
6.63,0,1,3,100.0,94.5,92.3,1
7.45,2,3,4,52.8,73.9,71.6,1
7.18,2,2,2,100.0,82.0,73.0,0
8.51,2,3,0,60.4,90.9,92.7,1
9.98,0,0,0,58.9,52.6,79.9,1
6.62,0,1,4,60.5,44.1,73.3,1
6.66,0,0,3,57.8,69.1,84.7,0
8.35,1,1,1,100.0,43.7,75.6,1
7.95,1,2,2,63.6,65.3,83.6,1
9.23,0,1,4,59.6,74.7,77.9,1
7.84,2,3,2,66.4,65.9,78.7,1
6.8,0,2,3,47.6,67.9,93.1,1
7.85,0,3,3,93.7,55.0,57.3,1
8.42,0,2,1,38.5,81.8,87.5,1
8.1,0,0,1,53.9,54.0,91.5,0
7.76,0,2,0,81.9,38.5,75.8,1
8.37,1,1,2,65.8,66.9,91.4,1
8.49,3,2,2,74.9,83.7,72.4,0
8.72,2,2,3,92.6,71.2,75.4,1
7.91,1,2,0,83.1,52.5,74.2,0
7.02,3,2,4,67.5,71.5,91.5,0
7.36,2,1,2,100.0,76.6,64.6,0
8.53,1,1,0,53.7,71.4,98.4,0
6.3,0,2,0,63.2,66.0,79.0,0
7.61,0,1,3,64.5,77.3,88.1,1
6.77,0,2,0,63.2,43.9,87.3,0
7.23,0,1,1,45.8,56.6,83.5,1
8.61,3,1,1,36.5,50.4,76.0,0
7.41,0,3,2,72.5,90.2,94.4,1
7.25,3,2,3,53.6,80.7,76.9,0
5.7,1,1,4,99.3,72.8,74.7,1
8.02,1,0,2,63.7,48.2,90.8,0
7.91,0,2,1,60.5,81.2,83.5,1
9.58,3,1,2,84.7,90.8,95.6,1
6.86,1,2,3,72.2,78.6,81.4,1
7.44,2,2,3,61.8,69.5,75.5,0
7.47,1,2,0,53.5,79.5,84.7,0
8.94,2,1,2,100.0,74.1,77.5,1
7.1,3,2,0,71.5,83.9,75.8,0
7.51,1,0,3,84.5,83.6,90.3,1
7.87,3,3,1,46.6,66.7,100.0,0
7.41,2,1,4,54.6,60.1,79.5,0
6.71,1,1,1,100.0,64.0,72.3,0
7.41,1,1,0,90.1,78.0,80.5,1
8.38,2,0,4,73.2,64.9,87.1,0
6.07,0,0,3,58.1,58.7,84.6,0
7.35,1,2,1,60.8,70.0,93.9,0
6.43,0,0,3,52.8,86.6,88.7,1
8.51,0,1,4,44.2,72.0,71.0,1
5.52,1,2,4,81.6,65.9,77.1,0
6.59,0,2,1,74.7,74.8,68.2,1
7.61,0,2,3,78.2,71.3,93.4,1
8.92,3,3,2,58.9,41.0,62.1,0
7.13,0,1,3,69.6,80.5,69.2,1
6.59,0,1,4,57.2,76.1,76.9,1
9.27,2,0,3,51.9,70.2,87.6,1
5.61,0,1,0,95.0,85.9,76.8,0
4.78,1,1,2,67.2,88.2,78.3,0
7.68,0,3,2,74.1,82.0,78.5,1
6.65,0,0,0,80.0,57.2,83.7,0
6.08,1,1,2,67.4,57.8,69.8,0
7.98,0,2,1,69.3,86.8,72.5,1
7.47,2,2,2,45.4,41.8,98.8,0
6.58,3,2,3,48.9,67.8,86.0,0
5.79,1,2,2,47.9,76.6,89.6,0
8.16,3,2,4,75.9,43.7,82.6,0
7.92,0,1,0,66.3,73.5,80.6,0
7.09,0,1,0,48.9,84.3,86.6,0
9.23,0,2,2,75.4,47.7,89.3,1
6.02,0,0,0,74.8,94.9,90.5,0
5.52,0,1,4,52.5,54.9,80.7,1
6.44,1,0,0,64.5,78.6,91.6,0
7.15,0,1,2,74.8,68.7,57.3,1
7.47,0,1,2,49.5,71.0,90.9,1
6.93,1,2,2,75.2,50.7,77.7,1
7.59,0,2,1,70.4,88.9,87.5,1
5.82,1,2,0,47.0,74.9,75.5,0
8.79,1,1,2,69.0,94.3,68.7,1
7.11,0,1,0,71.6,51.1,85.4,0
8.43,1,1,3,53.7,67.3,67.0,0
7.58,1,0,4,55.1,73.1,78.0,0
7.7,1,0,0,46.8,70.9,73.9,0
7.83,3,2,0,56.9,80.0,80.2,0
7.69,0,1,2,64.8,67.1,90.0,1
7.91,3,0,4,55.2,100.0,77.1,0
8.66,3,0,2,38.3,70.6,85.1,0
7.42,2,3,0,52.6,26.7,89.4,0
7.98,0,1,2,57.5,71.3,75.9,1
7.1,0,2,1,79.7,88.9,76.1,1
8.78,1,0,4,75.7,56.2,95.7,1
6.46,1,2,2,80.1,55.2,81.2,1
9.18,2,2,2,51.7,57.4,87.1,1
7.16,1,2,2,67.5,53.9,87.0,0
5.63,0,1,0,21.4,62.8,70.0,0
7.34,3,1,0,72.7,83.6,74.4,0
6.45,0,2,1,76.0,92.9,85.8,1
8.12,1,1,3,58.7,33.6,61.3,0
6.48,0,2,3,70.3,64.3,79.9,1
6.71,0,1,3,37.7,74.5,73.3,1
5.12,0,1,4,50.6,73.0,93.1,0
6.7,0,1,4,78.8,98.5,85.5,1
4.53,2,2,1,74.2,39.8,93.9,0
5.46,0,2,4,57.6,31.2,81.6,0
8.04,1,1,3,79.6,100.0,80.9,1
8.06,0,2,3,67.5,81.3,79.0,1
7.67,3,2,2,55.9,61.4,77.0,0
6.14,1,3,4,61.7,72.6,100.0,1
7.15,1,2,0,56.8,73.6,90.1,0
7.2,0,1,0,43.7,61.1,71.3,0
5.93,1,2,2,87.6,72.1,100.0,1
8.85,1,1,2,54.8,75.3,78.0,1
8.17,2,2,2,50.0,100.0,85.2,0
6.96,2,2,0,37.5,84.5,91.4,0
7.23,2,2,3,17.6,96.1,66.6,0
7.43,2,0,2,77.6,49.8,73.7,0
4.95,0,1,1,79.3,64.8,98.5,0
6.93,0,3,2,86.5,73.6,79.8,1
6.45,1,2,2,62.3,41.2,92.0,0
6.1,0,3,2,59.2,87.7,77.5,1
6.89,2,0,0,55.9,79.6,81.0,0
9.18,3,1,4,57.5,64.5,99.9,0
7.9,0,2,2,85.2,67.2,86.4,1
6.57,3,1,4,64.5,88.8,78.6,0
7.83,1,1,2,71.8,58.1,75.2,1
8.74,3,2,1,57.0,89.4,76.1,0
8.22,1,0,4,88.8,66.2,94.4,1
7.27,1,1,3,30.7,81.3,89.7,0
6.49,2,1,2,43.0,71.3,70.5,0
7.97,1,2,2,71.8,100.0,82.9,1
7.63,0,2,2,96.5,56.7,81.3,1
8.18,1,1,4,60.9,61.4,85.2,1
7.9,1,2,1,49.8,47.4,76.0,0
8.35,2,1,0,83.0,53.5,93.0,0
6.61,0,2,2,70.8,80.7,82.0,1
8.65,3,1,2,88.2,94.0,85.7,0
7.42,0,1,1,41.8,82.4,74.2,0
9.48,3,0,3,86.8,69.9,74.7,0
6.44,0,0,2,37.1,56.6,100.0,0
9.11,1,2,1,59.8,83.5,100.0,1
7.42,0,2,0,72.4,55.8,81.3,1
6.48,0,2,0,68.3,49.8,97.3,0
6.67,0,2,2,84.1,65.4,94.1,1
6.85,1,3,2,32.1,39.5,75.7,0
7.67,0,2,4,67.5,49.3,74.8,1
7.78,1,3,2,86.6,98.3,88.7,1
6.57,0,0,1,66.1,46.5,84.6,0
7.17,0,0,2,44.4,52.2,78.0,0
9.56,2,2,2,83.1,71.1,89.2,1
9.1,2,0,4,53.3,71.9,67.6,0
7.68,1,2,2,50.2,66.5,83.2,1
7.24,0,3,2,47.9,39.9,69.6,1
7.33,1,3,0,61.4,82.7,69.9,0
7.87,1,2,1,68.3,63.4,74.9,1
6.07,1,0,1,42.2,88.3,85.6,0
6.92,0,1,0,45.9,60.3,75.2,0
5.36,1,3,2,52.5,84.7,69.8,0
7.64,2,2,1,47.8,89.4,86.8,0
7.91,0,2,2,65.7,63.0,96.9,1
6.67,2,2,4,71.5,83.2,88.4,1
8.93,0,1,2,69.0,50.1,100.0,1
5.85,1,1,2,69.1,74.0,96.1,0
5.59,1,3,0,95.1,88.3,77.1,0
7.45,0,2,2,72.6,77.8,88.3,1
8.35,0,2,4,79.1,100.0,81.1,1
9.05,0,2,3,57.5,78.6,92.6,1
6.7,3,3,0,82.0,64.5,81.1,0
8.39,1,1,1,56.7,100.0,74.1,1
7.16,1,2,2,72.4,94.5,95.7,1
7.01,0,0,1,40.3,46.0,85.2,0
8.17,1,2,4,68.0,58.2,75.4,1
7.92,0,2,4,47.4,54.4,77.0,1
5.47,2,1,1,81.8,79.7,75.3,0
8.82,0,1,0,80.8,78.6,72.0,1
8.72,1,3,1,56.6,78.5,77.2,1
6.51,1,3,2,100.0,45.6,85.7,1
7.64,2,2,1,59.9,60.4,82.6,0
7.74,0,0,2,36.0,67.8,77.6,0
7.49,1,1,2,51.0,42.7,97.0,0
6.59,1,1,3,46.2,56.9,61.9,0
6.46,0,3,2,71.8,90.3,85.1,1
7.17,2,0,1,42.8,46.7,80.6,0
8.49,0,3,2,55.3,91.8,72.3,1
7.8,1,1,0,70.7,86.4,85.6,0
6.79,0,3,2,67.5,65.6,79.8,1
8.05,1,2,2,64.8,60.3,94.5,1
4.5,0,3,0,67.3,82.5,90.7,0
8.46,0,2,3,58.3,58.2,100.0,1
5.29,0,3,2,36.1,58.9,77.2,1
6.8,3,2,1,57.9,69.6,96.0,0
5.97,0,0,1,73.4,38.0,70.3,0
5.78,0,1,1,62.5,48.3,80.9,0
8.48,0,1,2,72.0,65.3,77.3,1
6.69,0,1,2,54.4,77.1,88.0,1
7.58,3,1,2,82.9,58.0,87.8,0
7.15,2,1,0,19.0,67.0,73.0,0
7.72,0,3,4,67.5,45.8,88.6,1
7.28,1,0,0,89.3,84.0,78.2,0
5.79,1,0,1,92.0,73.3,73.8,0
8.3,0,1,4,60.8,74.6,81.9,1
6.66,2,1,2,41.1,77.3,67.2,0
5.49,3,3,1,89.6,71.2,91.3,0
6.73,0,0,3,64.1,62.7,81.4,0
8.85,0,0,0,62.1,86.9,81.7,1
8.14,0,2,2,48.9,72.4,81.1,1
6.82,1,2,0,42.5,67.5,98.5,0
6.82,1,0,2,75.1,69.9,97.2,0
6.85,0,1,4,77.1,69.6,95.5,1
9.48,0,2,3,68.6,67.4,81.1,1
7.62,0,2,4,51.2,76.7,70.8,1
7.67,1,3,3,45.8,56.0,81.8,1
8.33,3,0,0,39.2,57.1,85.1,0
7.46,3,0,2,54.9,78.4,90.1,0
6.92,2,0,4,46.9,67.8,85.1,0
6.98,0,1,3,34.2,84.6,71.7,1
7.12,1,2,1,76.7,76.1,76.6,1
7.16,1,0,1,41.3,61.7,75.7,0
8.0,0,0,4,82.7,78.6,87.4,1
7.26,3,1,2,72.1,88.0,87.6,0
8.01,3,1,4,70.3,76.7,88.9,0
7.11,3,3,0,95.0,80.0,85.0,0
7.29,0,0,3,41.9,67.4,61.4,0
5.0,1,1,0,80.7,84.9,64.7,0
8.21,0,2,1,59.6,61.3,80.6,1
7.58,0,3,3,100.0,75.1,83.0,1
8.3,3,0,4,58.1,100.0,94.5,0
4.5,2,0,0,55.2,78.1,82.8,0
9.5,3,1,2,72.7,63.7,72.2,0
7.05,3,1,2,61.2,63.7,88.6,0
8.42,1,0,2,51.3,68.9,81.8,0
6.06,0,2,2,47.5,82.8,78.0,1
7.87,0,0,1,91.2,72.2,65.9,1
6.04,1,2,3,44.1,60.3,82.9,0
6.51,1,3,2,69.0,60.2,84.3,1
9.31,2,3,2,84.0,72.3,72.0,1
6.99,1,2,4,84.9,70.6,89.4,1
7.44,2,2,2,54.2,76.8,88.5,0
8.16,1,2,1,61.3,83.8,82.5,0
7.75,1,1,1,57.8,100.0,82.1,0
7.37,0,0,0,37.4,48.1,91.5,0
7.6,3,0,2,74.7,80.3,85.7,0
9.84,0,2,0,65.7,71.5,75.0,1
7.14,0,2,2,90.9,42.3,80.0,1
7.42,1,0,3,50.2,88.7,87.6,0
8.36,1,0,3,84.6,76.3,61.7,1
8.42,3,1,1,85.9,82.0,72.7,0
8.51,0,1,3,65.8,44.5,88.8,1
7.9,0,2,3,25.9,66.7,94.1,1
5.94,0,2,3,55.8,53.8,92.2,1
9.0,2,1,2,97.1,100.0,90.9,0
5.94,0,0,3,70.3,87.2,83.3,0
7.53,0,1,4,77.5,59.8,71.7,1
6.37,3,1,3,63.4,47.0,80.0,0
7.13,0,2,3,61.0,72.9,62.1,1
7.56,0,1,0,31.4,86.4,95.0,0
7.55,0,3,2,79.3,44.0,73.8,1
7.66,2,1,1,84.4,56.0,76.7,0
8.98,2,0,0,47.9,53.4,92.6,0
7.7,2,3,2,61.8,83.0,65.9,0
6.93,1,1,2,59.4,64.5,70.1,0
8.26,1,2,4,72.6,65.1,84.7,1
8.51,2,2,2,55.2,72.6,87.2,1
5.85,0,1,2,81.8,56.8,81.3,0
7.86,0,2,2,66.3,48.3,81.6,1
7.97,2,1,2,19.1,90.5,94.7,0
6.87,3,3,1,73.0,91.9,88.4,0
8.71,2,0,3,82.9,72.7,87.0,1
7.03,0,0,2,44.3,73.8,89.8,0
7.34,1,0,3,72.4,88.9,79.0,1
7.01,0,1,3,97.9,72.3,100.0,1
7.22,0,2,4,67.0,63.7,58.9,1
5.99,2,0,2,85.5,70.6,96.6,0
5.62,0,2,1,57.0,90.9,91.0,1
8.95,2,1,4,64.7,70.8,84.5,0
6.27,3,3,0,61.3,60.0,82.8,0
6.11,2,2,1,58.0,72.2,80.4,0
4.83,0,3,3,62.3,79.8,93.0,1
6.5,0,1,1,35.6,78.0,81.6,0
5.74,2,1,2,59.0,78.3,74.7,0
9.01,0,2,0,89.1,57.6,91.0,1
8.31,0,1,2,47.7,81.6,97.8,1
6.44,0,1,0,45.8,70.4,62.7,0
9.68,0,1,4,66.1,59.3,100.0,1
8.28,0,0,3,67.0,81.4,71.6,1
6.84,1,2,0,71.8,63.2,72.4,0
4.5,1,2,0,63.0,46.4,69.6,0
